Row ID,Tanggal,Tweet ID,User ,Tweet,Web
1007,3/19/2021 6:44,1.37E+18,NalaR ®️ ☕,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1008,3/19/2021 6:42,1.37E+18,R@spati 💪♥️🇮🇩🌹🇮🇩♥️," Dear Warga Jakarta, Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar.",https:/ / t.co/ lP3Xal83u0
1009,3/19/2021 6:40,1.37E+18,NalaR ®️ ☕,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1010,3/19/2021 6:33,1.37E+18,YULITA SARI,"  @YN___79: Presiden Resmikan Kolam Regulasi Nipa- Nipa di Makassar. Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta Kapan??",
1011,3/19/2021 6:28,1.37E+18,yudhispanjisolo,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1012,3/19/2021 6:27,1.37E+18,pongaky agung,"  @Paltiwest: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa pemberian Jokowi yang bermanfaat untuk Kurangi banjir di Makassar",
1013,3/19/2021 6:27,1.37E+18,Presiden Runner Up.2,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1014,3/19/2021 6:22,1.37E+18,Razidan Ananda,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1015,3/19/2021 6:22,1.37E+18,Komunitas Tolak Khilafah,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1016,3/19/2021 6:21,1.37E+18,Yura Aprilia,"  @yulitasaarii___: Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",
1017,3/19/2021 6:21,1.37E+18,𝐇𝐚𝐫𝐭𝐚 𝐓𝐚𝐡𝐭𝐚 𝐘𝐮𝐥𝐢𝐭𝐚," Makassar bakal berkurang banjir ini,  walau solusinya bukan memasukan air kedalam tanah seprti yang di Jakarta sana",https:/ / t.co/ 4pDsRYFyQ1
1018,3/19/2021 6:20,1.37E+18,Van De Rachman,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1019,3/19/2021 6:13,1.37E+18,mangib_com," Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar",https:/ / t.co/ XjlkjS8hyk
1020,3/19/2021 6:10,1.37E+18,EngelinLD,  @Vendra_Deje: Presiden Jokowi resmikan Kolam Regulasi Nipah- Nipah di Kota Makassar. Kolam ini berfungsi untuk pengaturan air terutama banjir dan genangan di Kota Makassar,
1021,3/19/2021 6:09,1.37E+18,Pay_Joepanma,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1022,3/19/2021 6:08,1.37E+18,Wanta,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1023,3/19/2021 6:07,1.37E+18,🐝, @_aamajang Ini bukan banjir jakarta,
1024,3/19/2021 6:04,1.37E+18,Satriya Mudha,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
1025,3/19/2021 6:03,1.37E+18,Petualang semu,"  @Ranisor: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar @jokowi",
1026,3/19/2021 6:01,1.37E+18,buser49,"  @Ranisor: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar @jokowi",
1027,3/19/2021 5:55,1.37E+18,rhea anisd📌, @yleager depok suka kirim banjir ke jakarta,
1028,3/19/2021 5:53,1.37E+18,mangib_com,  @thewindancloud: Bismillahirahmanirohiim. Makasar saat ini punya Kolam Regulasi Nipa- Nipa yang fungsinya untuk kurangi banjir Makasar.. Jakarta kapan??,
1029,3/19/2021 5:53,1.37E+18,mangib_com,  @Vendra_Deje: Presiden Jokowi resmikan Kolam Regulasi Nipah- Nipah di Kota Makassar. Kolam ini berfungsi untuk pengaturan air terutama banjir dan genangan di Kota Makassar,
1030,3/19/2021 5:52,1.37E+18,2-Jun,  @June_dya77: Dear Warga Jakarta� Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta kapan??,
1031,3/19/2021 5:51,1.37E+18,Rani soraya," Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar @jokowi gaspol infrastruktur",https:/ / t.co/ muvuVYKx4p
1032,3/19/2021 5:47,1.37E+18,Nusantara Bisa,"  @YN___79: Presiden Resmikan Kolam Regulasi Nipa- Nipa di Makassar. Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang bermanfaat untuk Kurangi banjir di Makassar. Jakarta Kapan??",
1033,3/19/2021 5:45,1.37E+18,Abu Jubels,"  @PakarINTELek: Dear Warga Jakarta,  Makassar kini punya Kolam Regulasi Nipa- Nipa yang baru- baru ini diresmikan Presiden Joko Widodo",
