Row ID,Tanggal,Tweet ID,User ,Tweet,Web
32,3/22/2021 17:40,1.37E+18,danny," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
33,3/22/2021 16:28,1.37E+18,CEI," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
34,3/22/2021 16:20,1.37E+18,Danimas," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
35,3/22/2021 15:18,1.37E+18,Nius," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
36,3/22/2021 14:54,1.37E+18,Bang Hengki," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
37,3/22/2021 13:48,1.37E+18,Blackco Tanya," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
38,3/22/2021 13:04,1.37E+18,Sitiaisyah2051988," RT @Uki23: Kalau mengikutkan data BPBD tahun 2016, 2017, 2018 ada fakta yang disembunyikan Pemprov DKI. Jumlah pengungsi meningkat",
39,3/24/2021 12:00,1.37E+18,Pohaci ID," Global Warming Mengubah Hidupku\n\nSekarang musim hujan kurang air, musim kemarau banjir. Tanaman jadi rusak, kering,\xe2\x80\xa6 '",https://t.co/NCdudQm3T2
40,3/24/2021 11:52,1.37E+18,Warta Kota Official," Hati-hati Melintas di Kanal Banjir Barat Tomang Rawan Ambruk, Banyak Besi Sheetpile yang Dicuri",https://t.co/xYhXjvChqp
41,3/24/2021 11:49,1.37E+18,Pasundan Ekspres,Nia Dorong Pemerintah Terus Lakukan Pemulihan Pasca Banjir,https://t.co/rFaTUg2zDA
42,3/24/2021 6:30,1.37E+18,Okezone, Naturalisasi Percantik Kawasan Kanal Banjir Barat    #LengkapCepatBeritanya #BeritaTerkini #BeritaTerkini,https://t.co/DUMVaUcGn1
43,3/24/2021 6:24,1.37E+18,FRAKSI PDI Perjuangan DKI Jakarta," Seharusnya sejak awal itu dialokasikan untuk penanganan banjir, bukan untuk merencanakan balapan Formula E yang tidak dibutuhkan masyarakat",https://t.co/RIlnAIt6Z7
44,3/23/2021 14:14,1.37E+18,Kompas.com," Besi-besi sheet pile di Jalan Tomang Kanal Banjir Barat, Tomang, Grogol Petamburan, Jakarta Barat hilang dicuri. ",https://t.co/jBEKGDj7rw
45,3/23/2021 13:02,1.37E+18,Agung Triraharjo, @trieva051 @tukanganalisa @echoPiR @Irenecutemom @aniesbaswedan @DinasSDAJakarta @pamjaya_id @DKIJakarta masah iya hampir 4 tahun hanya menghasilkan SPAM 10 liter/detik...kan malu2in...pernah dengar dry dam ciawi dan sukamahi yg dibangun KemenPUPR yg akan selesai akhir tahun 2021 ini ?  yg bisa mereduksi puncak banjir ciliwung 30%.,https://t.co/hTtuvjkCRJ
46,3/23/2021 11:59,1.37E+18,"Dharul Fitrah, SE"," @aniesbaswedan @DinasSDAJakarta @pamjaya_id @DKIJakarta *Banjir di Jakarta, Anies Baswedan: Atas Izin Allah, Satu hari kering",https://t.co/emdworFR7y
47,3/23/2021 10:20,1.37E+18,Okezone," Atasi Banjir, Pemprov DKI Percepat Pembangunan Waduk Kampung Kandang #LengkapCepatBeritanya #BeritaTerkini",https://t.co/ogn9orqhxi
48,3/23/2021 1:48,1.37E+18,akunugraha," @FerdinandHaean3 - Faktanya seperti ini, tapi masih ada yang bilang Anies sukses..???  Rumah DP 0% Gagal dan Korupsi, Formula E Gagal Fee gelap gulita, Banjir tetap tinggi Tp diklaim sukses hanya dgn mencat atap dan mencat kolong fly over.Begitu susahkah mencari yg waras skrg? TANGKAP ANIES",https://t.co/37ZnuWEfLI
49,3/23/2021 1:01,1.37E+18,Serenity," RT @Uki23: Catatan: 2021 tidak diikutkan karena musim hujan 2021 masih berlangsung. Sumber: BPBD, disadur oleh Kompas.com",https://t.co/qHkCN
